time,CPU,memory,cpu_temp,output
2023-07-09 18:50:45.937633,1.9,75.3,29.6,0
2023-07-09 18:50:47.988659,4.6,75.3,29.6,0
2023-07-09 18:50:50.039176,3.8,75.3,29.6,0
2023-07-09 18:50:52.075614,2.3,75.3,29.6,0
2023-07-09 18:50:54.102696,1.5,75.3,29.6,0
2023-07-09 18:50:56.147314,4.2,75.0,29.6,0
2023-07-09 18:50:58.186682,4.2,74.9,29.6,0
2023-07-09 18:51:00.249496,2.7,74.9,29.6,0
2023-07-09 18:51:02.291496,1.2,74.9,29.6,0
2023-07-09 18:51:04.333358,1.2,74.9,29.6,0
2023-07-09 18:51:06.371640,3.1,74.9,29.6,0
2023-07-09 18:51:08.399340,3.8,74.8,29.6,0
2023-07-09 18:51:10.447069,0.8,74.8,29.6,0
2023-07-09 18:51:12.492647,5.9,74.8,29.6,0
2023-07-09 18:51:14.521652,2.3,74.8,29.6,0
2023-07-09 18:51:16.610715,88.4,75.7,29.6,0
2023-07-09 18:51:18.678186,67.3,75.5,29.6,0
2023-07-09 18:51:20.719042,30.6,75.5,29.6,0
2023-07-09 18:51:22.754595,6.1,75.6,29.6,0
2023-07-09 18:51:24.801616,5.8,75.8,29.6,0
2023-07-09 18:51:26.854000,3.8,75.7,29.6,0
2023-07-09 18:51:28.906616,2.7,75.7,29.6,0
2023-07-09 18:51:30.938647,0.8,75.7,29.6,0
2023-07-09 18:51:32.962660,1.5,75.7,29.6,0
2023-07-09 18:51:35.018607,4.3,75.7,29.6,0
2023-07-09 18:51:37.042870,0.8,75.7,29.6,0
2023-07-09 18:51:39.078963,2.0,75.7,29.6,0
2023-07-09 18:51:41.119065,2.7,75.8,29.6,0
2023-07-09 18:51:43.183629,6.9,75.7,29.6,0
2023-07-09 18:51:45.234595,5.1,75.7,29.6,0
2023-07-09 18:51:47.277650,5.0,75.7,29.6,0
2023-07-09 18:51:49.312601,0.4,75.7,29.6,0
2023-07-09 18:51:51.357610,1.6,75.7,29.6,0
2023-07-09 18:51:53.401223,3.8,75.7,29.6,0
2023-07-09 18:51:55.462591,3.5,75.7,29.6,0
2023-07-09 18:51:57.515593,1.6,75.6,29.6,0
2023-07-09 18:51:59.576481,5.1,75.6,29.6,0
2023-07-09 18:52:01.628705,5.0,75.7,29.6,0
2023-07-09 18:52:03.681650,7.3,75.6,29.6,0
2023-07-09 18:52:05.739626,7.8,75.5,29.6,0
2023-07-09 18:52:07.781654,1.6,75.5,29.6,0
2023-07-09 18:52:09.823488,2.3,75.7,29.6,0
2023-07-09 18:52:11.858326,5.5,75.7,29.6,0
2023-07-09 18:52:13.899650,1.5,75.6,29.6,0
